video_id,video_titulo,comentario_id,comentario,comentario_data,canal_id,canal_titulo,canal_pais,texto_limpo,idioma,associa_brasil,menciona_prisao,menciona_intervencao,posicao_prisao,posicao_intervencao,,
kIH7kI8SW5o,Veja primeiras imagens de Maduro sob custódia nos EUA,Ugz7Y_0IylfmirYw1iV4AaABAg,Agora só falta apodrecer na cadeia para pagar pelos crimes que cometeu.,2026-01-05T03:40:46Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,agora so falta apodrecer na cadeia para pagar pelos crimes que cometeu,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
-GvXSCGnEhI,Plantão da Globo: Venezuela é atacada pelos EUA,Ugx9rRGc8GTewNWgjSF4AaABAg,"A Globo praticando FAKE NEWS. Como pode Maduro ter tido tempo de emitir uma nota tão longa se, sua prisão levou 47 segundos? ""VERGONHA, VERGONHA, VERGONHA""",2026-01-04T20:57:56Z,UCaGmdJSSiR7fkh2A-c6emsA,g1,BR,a globo praticando fake news como pode maduro ter tido tempo de emitir uma nota tao longa se sua prisao levou segundos vergonha vergonha vergonha,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
_yzBkynhoJA,CIRO GOMES EXPLICA A INVASÃO DOS ESTADOS UNIDOS.,UgyZVhiPPUN_KiJ7Eyd4AaABAg,"Dois pesos, duas medidas — ou a hipocrisia da extrema-direita
Vocês dizem combater golpes, narcotráfico e autoritarismo.
Mas os fatos contam outra história.
👉 Nicolás Maduro é acusado há anos de ser “narcotraficante”.
Repetem isso como mantra.
Mas até hoje não existe prova judicial, não existe flagrante, não existe apreensão, não existe condenação.
Só acusação política — e sanções.
👉 No Brasil, durante o governo de Jair Bolsonaro, 39 quilos de cocaína foram apreendidos em um avião da comitiva presidencial, na Espanha.
Houve flagrante.
Houve prisão.
Houve laudo.
Houve processo.
E o que vocês fizeram?
🔇 Silêncio.
🔇 Nenhum discurso de “narco-Estado”.
🔇 Nenhuma defesa de sanção.
🔇 Nenhuma “intervenção pela democracia”.
Curioso, não?
Vocês dizem odiar golpes, mas tentaram desacreditar eleições no Brasil, pressionar instituições e criar ruptura — exatamente o que dizem condenar na Venezuela.
Fracassaram aqui, aplaudem intervenção lá.
A verdade é simples:
Vocês não são contra golpes
Vocês não são contra o narcotráfico
Vocês não são a favor da soberania
Vocês são a favor do alinhamento certo.
Quando não há prova, mas o governo é inimigo → chamam de ditadura e narco-Estado.
Quando há prova, mas o governo é aliado → tratam como “caso isolado”.
Isso não é defesa da democracia.
Isso é hipocrisia geopolítica.
E quanto mais vocês aplaudem invasões, sanções e acusações sem prova, mais deixam claro:
👉 o problema nunca foi o crime — é quem está no poder.",2026-01-05T22:46:36Z,UCH8q_QiLsNeZdu4rnbN_swg,NEWSTRADERPOLITICA,BR,dois pesos duas medidas ou a hipocrisia da extremadireita voces dizem combater golpes narcotrafico e autoritarismo mas os fatos contam outra historia nicolas maduro e acusado ha anos de ser narcotraficante repetem isso como mantra mas ate hoje nao existe prova judicial nao existe flagrante nao existe apreensao nao existe condenacao so acusacao politica e sancoes no brasil durante o governo de jair bolsonaro quilos de cocaina foram apreendidos em um aviao da comitiva presidencial na espanha houve flagrante houve prisao houve laudo houve processo e o que voces fizeram silencio nenhum discurso de narcoestado nenhuma defesa de sancao nenhuma intervencao pela democracia curioso nao voces dizem odiar golpes mas tentaram desacreditar eleicoes no brasil pressionar instituicoes e criar ruptura exatamente o que dizem condenar na venezuela fracassaram aqui aplaudem intervencao la a verdade e simples voces nao sao contra golpes voces nao sao contra o narcotrafico voces nao sao a favor da soberania voces sao a favor do alinhamento certo quando nao ha prova mas o governo e inimigo chamam de ditadura e narcoestado quando ha prova mas o governo e aliado tratam como caso isolado isso nao e defesa da democracia isso e hipocrisia geopolitica e quanto mais voces aplaudem invasoes sancoes e acusacoes sem prova mais deixam claro o problema nunca foi o crime e quem esta no poder,pt,TRUE,TRUE,TRUE,NEUTRO,CRITICA_INTERVENCAO_EUA,,20
uf2PKj-D7Ew,"Maduro e Cilia Flores chegam à DEA, agência antidrogas dos Estados Unidos, em Nova York",Ugz69oql-419wGDFpit4AaABAg,É  precisos  vir buscar o MACRON a. França  nao quer mais o MACRON,2026-01-05T18:13:54Z,UCthbIFAxbXTTQEC7EcQvP1Q,BBC News Brasil,BR,e precisos vir buscar o macron a franca nao quer mais o macron,pt,FALSE,TRUE,FALSE,NaN,NaN,,
xc56nRVFpQU,POR QUE NINGUÉM ESTÁ FALANDO DISSO SOBRE A PRISÃO DO MADURO?,UgwyUp-CQPIE5Fj74sx4AaABAg,"PRISÃO  PERPETUA  PARA  MADURO.  DEUS, SALVE O POVO VENEZUELANO!  TRUMP, TIRE BOLSONARO DO BRASIL URGENTE !!",2026-01-09T19:17:33Z,UCKEM87jzVqdIfAdTr0xNBfA,Pastor Antônio Júnior,BR,prisao perpetua para maduro deus salve o povo venezuelano trump tire bolsonaro do brasil urgente,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA,,
A5vwzaMTklk,Lula diz que ataques de Trump à Venezuela e prisão de Maduro são &#39;inaceitáveis&#39;,UgwvOKZKvsqcA3UfMfR4AaABAg,Repúdio a agressão foi o que esse ditador Maduro fez por anos na Venezuela. Podem falar o que quis mas a esquerda não tem vez. Isso foi provado com essa prisão. O povo comemora.,2026-01-06T02:21:58Z,UCVFbXI6Gu8U2f9Gjtxw4A-Q,UOL,BR,repudio a agressao foi o que esse ditador maduro fez por anos na venezuela podem falar o que quis mas a esquerda nao tem vez isso foi provado com essa prisao o povo comemora,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NEUTRO,,
eSTCscEeywM,"Em tribunal, Maduro diz que foi &quot;sequestrado&quot; e se declara inocente | Brasil Urgente",Ugzbp0SgFqRGq6dOhWt4AaABAg,Esse criminoso traficante ladrão tem que pegar prisão perpetua junto com sua comparsas mas falta prender o resto da quadrilha😮😮😮,2026-01-06T04:28:26Z,UCG-fFAxQjZgJmn0w7Brj5xQ,Brasil Urgente,BR,esse criminoso traficante ladrao tem que pegar prisao perpetua junto com sua comparsas mas falta prender o resto da quadrilha,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NEUTRO,,
EOG_epeGBrU,"Veja momento em que Maduro desembarca em Nova York, nos EUA | #PlantãoNews",UgykStnkvzOALv-OVfB4AaABAg,47 *Minutos*  e o Ditador *MADURO* foi *Capturado* vai Dançar na Cadeia 🤣,2026-01-04T19:21:53Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,minutos e o ditador maduro foi capturado vai dancar na cadeia,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NEUTRO,,
HN_YedOzQ2k,"Após Prisão de Maduro, Ludmila Cria Perfil no Instagram e Diz Ter Provas Contra Lula",UgzKbP9pUzb-SlLfjk94AaABAg,Quero ver esse ladrão vagabundo na cadeia,2026-01-05T20:58:05Z,UC-0Iji1E4yOOwgzeh8opnKA,HFNew Atualidades,BR,quero ver esse ladrao vagabundo na cadeia,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
u0fr0NvKafA,Venezuelanos comemoram captura de Maduro pelos EUA,UgwklsEPi3P65jZzcYt4AaABAg,Não vejo a hora de lula cair na prisão 😊,2026-01-04T17:21:14Z,UCP391YRAjSOdM_bwievgaZA,Jovem Pan News,BR,nao vejo a hora de lula cair na prisao,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NaN,,
u0fr0NvKafA,Venezuelanos comemoram captura de Maduro pelos EUA,UgwalhI5Qgb153sHwKp4AaABAg,Tem que prender o presidente da Argentina também. Outro ditador,2026-01-04T05:42:37Z,UCP391YRAjSOdM_bwievgaZA,Jovem Pan News,BR,tem que prender o presidente da argentina tambem outro ditador,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
4yj4IhQe18o,Como forças de elite dos EUA capturaram Nicolás Maduro,UgwKE4zsTsqD8Bpa4IZ4AaABAg,Venha buscar os políticos de  Brasília Trump.....,2026-01-06T07:56:11Z,UCaGmdJSSiR7fkh2A-c6emsA,g1,BR,venha buscar os politicos de brasilia trump,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA,,
Zk56rBPSm4M,"Nicolás Maduro preso: Cabrini mostra bastidores da operação dos EUA na Venezuela, resultou 80 mortos",UgycFmfG9fLq7-v9FBZ4AaABAg,maduro não pode ser solto ele tem que ter no mínimo prisão perpétua ouve muitas mortes porcausa dele  ele procurou achou e tem outros procurado tomara que ache . Tramp ajiu certo corretíssimo.  Precisa fazer em outros paizes . Parabéns ao Tramp e seus soldados.  Um abraço ao Tramp e seus soldados.,2026-01-09T12:02:42Z,UCoRz1sARw5el7c9WhVf6mkQ,RECORD CABO VERDE,BR,maduro nao pode ser solto ele tem que ter no minimo prisao perpetua ouve muitas mortes porcausa dele ele procurou achou e tem outros procurado tomara que ache tramp ajiu certo corretissimo precisa fazer em outros paizes parabens ao tramp e seus soldados um abraco ao tramp e seus soldados,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,APOIA_INTERVENCAO_EUA,,
EOG_epeGBrU,"Veja momento em que Maduro desembarca em Nova York, nos EUA | #PlantãoNews",UgxQpKLVDjYgG4-p_FB4AaABAg,Ainda bem que o Estados Unidos 10.000 contra um covarde desse aí eu não diria que matasse ele não ia pegar prisão perpétua,2026-01-04T10:07:54Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,ainda bem que o estados unidos contra um covarde desse ai eu nao diria que matasse ele nao ia pegar prisao perpetua,pt,FALSE,TRUE,TRUE,APOIA_PRISAO,CRITICA_INTERVENCAO_EUA,,
JHl5ci25B8I,Prisão de MADURO pode ser o FIM de LULA e do PT,Ugx57TEFCB4uoGlYTYV4AaABAg,"prisao de maduro, fortaleceu ainda mais o 
Bricks e Lula, o maior politico do planeta, que uniu potencias compra o iperalismo americano, nenhum outro presidente conseguiu isso, guardem esse nome Lula, vai ficar imortalizado pelo Bricks e ele e Brasileiro, deveria ser orgulho de qualquer nacao",2026-01-10T14:58:10Z,UC5Bw0GoCfHk9tA_30ltCw9Q,Mundo Polarizado | Olimpio Araujo Junior,BR,prisao de maduro fortaleceu ainda mais o bricks e lula o maior politico do planeta que uniu potencias compra o iperalismo americano nenhum outro presidente conseguiu isso guardem esse nome lula vai ficar imortalizado pelo bricks e ele e brasileiro deveria ser orgulho de qualquer nacao,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,CRITICA_INTERVENCAO_EUA,,
l3Cbe2c7qwU,Trump ameaça Delcy Rodríguez e fala em “fim pior que Maduro” | #NewsDomingo,UgwDD91LDb6eelMe5-x4AaABAg,"Se Maduro que tinha todo o poder não atacou os EUA, vcs acham que grupos de melícias ou o Exército da Venezuela vai?
Nossa conhecimento e raciocínio lógico passa longe hein...
Não só o povo queria Maduro fora, mas grande parte de seu Governo tb, pois sabem que um DITADOR pode te matar a qualquer momento, basta não fazer o que ele mandar...
SOBERANIA Venezuelana?
O POVO todo comemorando a prisão de Maduro e vcs falando de soberania?
Que soberania vcs estão defendendo?
Do POVO ou de Maduro?
Não viram os vídeos do povo comemorando não?
Tão sem internet ou estão na bolha de ideologia de vcs?",2026-01-07T15:04:18Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,se maduro que tinha todo o poder nao atacou os eua vcs acham que grupos de melicias ou o exercito da venezuela vai nossa conhecimento e raciocinio logico passa longe hein nao so o povo queria maduro fora mas grande parte de seu governo tb pois sabem que um ditador pode te matar a qualquer momento basta nao fazer o que ele mandar soberania venezuelana o povo todo comemorando a prisao de maduro e vcs falando de soberania que soberania vcs estao defendendo do povo ou de maduro nao viram os videos do povo comemorando nao tao sem internet ou estao na bolha de ideologia de vcs,pt,FALSE,TRUE,TRUE,APOIA_PRISAO,NEUTRO,,
XDByNex5jIU,Trump publica imagem de Maduro preso a bordo de navio dos EUA,UgyvprZDBGC8ZNe8IVZ4AaABAg,"Como assim os caras invadem outro país para impor as regras deles? Para julgar uma pessoa sobre as regras de outro país ? 
Não sou fã do maduro. Mas mesmo assim cada país cuida de seus problemas",2026-01-03T23:34:54Z,UCP391YRAjSOdM_bwievgaZA,Jovem Pan News,BR,como assim os caras invadem outro pais para impor as regras deles para julgar uma pessoa sobre as regras de outro pais nao sou fa do maduro mas mesmo assim cada pais cuida de seus problemas,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
A5vwzaMTklk,Lula diz que ataques de Trump à Venezuela e prisão de Maduro são &#39;inaceitáveis&#39;,UgyvgyrPSBE6Ztx5Frp4AaABAg,Eu tenho vários amigos venezuelanos e nenhum está minimamente triste com a notícia da prisão do maduro,2026-01-04T18:20:04Z,UCVFbXI6Gu8U2f9Gjtxw4A-Q,UOL,BR,eu tenho varios amigos venezuelanos e nenhum esta minimamente triste com a noticia da prisao do maduro,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,CRITICA_INTERVENCAO_EUA,,
KzAyxGbn6Mc,Flávio e Eduardo Bolsonaro criticam Lula após prisão de Maduro ⚠️,Ugws_SSKs3ZQKodrnj54AaABAg,"Isso mesmo,quer dizer que os dois estão contentes com a prisão do seu pai,antis que virase ditador, Alexandre de Moraes a predeo,",2026-01-04T18:44:12Z,UCScnJVNPlurZVvBXLs1qXXw,Bastidores do Poder,BR,isso mesmoquer dizer que os dois estao contentes com a prisao do seu paiantis que virase ditador alexandre de moraes a predeo,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NEUTRO,,
DgMbbN2vRjs,Prisão de Maduro escancara medo do Lula e da esquerda latino-americana | CAFÉ COM A GAZETA,UgxX8qxMkLQKaCSJHPl4AaABAg,TEORIA DA CONSPIRAÇÃO. LULA DEVENDE A SOBERANIA DE QUALQUER PAÍS. MADURO QUE PAGUE PELOS SEUS CRIMES NO SEU PAÍS NÃO NO TRIBUNAL AMERICANO.,2026-01-07T18:05:44Z,UCWdGgeyOnCOGnvhNdbVl1dQ,Gazeta do Povo,BR,teoria da conspiracao lula devende a soberania de qualquer pais maduro que pague pelos seus crimes no seu pais nao no tribunal americano,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NaN,,
kIH7kI8SW5o,Veja primeiras imagens de Maduro sob custódia nos EUA,UgzfbDucXRbyy9ipc_B4AaABAg,Logo vem buscar o jumento do PT e seus aliados kkkkkk o sonho,2026-01-05T16:33:02Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,logo vem buscar o jumento do pt e seus aliados kkkkkk o sonho,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NEUTRO,,
EOG_epeGBrU,"Veja momento em que Maduro desembarca em Nova York, nos EUA | #PlantãoNews",Ugz_Q6oAZoOP86CWmzd4AaABAg,"É muito a palhaçado. Tudo isso pra roubar o petróleo da Venezuela agora. Me faz uma pergunta. Por que que ele não prende o vladmi, Putin? O Kim, o gordinho da Coreia, ele tem que começar a aprender esses caras todo porque eles são tudo ditador",2026-01-04T15:00:37Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,e muito a palhacado tudo isso pra roubar o petroleo da venezuela agora me faz uma pergunta por que que ele nao prende o vladmi putin o kim o gordinho da coreia ele tem que comecar a aprender esses caras todo porque eles sao tudo ditador,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,CRITICA_INTERVENCAO_EUA,,
3CN3hULHX6s,Trump confirma ataque dos EUA à Venezuela e diz que Maduro foi capturado | BREAKING NEWS,UgzV6x5vBwcDEg02vwx4AaABAg,"Trump, quero ver buscar nois kkkkk",2026-01-03T17:31:50Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,trump quero ver buscar nois kkkkk,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
qVVOZZBIYiw,Quem é Nicolás Maduro: da liderança sindical ao poder na Venezuela | #SBTBrasil,UgyKuWOz39U8LUqKQCR4AaABAg,"líder sindical?
aqui tem um também.
pode buscar!",2026-01-04T10:24:17Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,lider sindical aqui tem um tambem pode buscar,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
JHl5ci25B8I,Prisão de MADURO pode ser o FIM de LULA e do PT,UgxEJzT928XKDH1R3YV4AaABAg,"Se Deus quiser e ele quer,  vai ser o fim deste ladrão FDP junto com a sua corja nojenta que acaba com o nosso país. 
Lula na cadeia ou no inferno essa desgraça. 
🙏🙏🙏🙏",2026-01-06T17:57:12Z,UC5Bw0GoCfHk9tA_30ltCw9Q,Mundo Polarizado | Olimpio Araujo Junior,BR,se deus quiser e ele quer vai ser o fim deste ladrao fdp junto com a sua corja nojenta que acaba com o nosso pais lula na cadeia ou no inferno essa desgraca,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NaN,,
3BNRFrzcIWM,Maduro Acorda Com Lula  Delação e Fim do Foro de São Paulo,UgwZc1mZ_FW-Fev3P1p4AaABAg,"IMAGINEM BRASIL: DIA 8 DE JANEIRO TRUMP MANDASSE BUSCAR LULA E O XANDÃO, O TAMANHO DA FESTA QUE BRASILEIROS FARIAM????",2026-01-05T19:07:21Z,UC4AbzCexwIA87RYm5cDVPWg,LEOTV,Nao informado,imaginem brasil dia de janeiro trump mandasse buscar lula e o xandao o tamanho da festa que brasileiros fariam,pt,TRUE,TRUE,FALSE,APOIA_PRISAO,NaN,,
u0fr0NvKafA,Venezuelanos comemoram captura de Maduro pelos EUA,UgzACwwAClj8r1xAVGB4AaABAg,Esse tem que morrer na cadeia kkkkkkk,2026-01-04T16:46:34Z,UCP391YRAjSOdM_bwievgaZA,Jovem Pan News,BR,esse tem que morrer na cadeia kkkkkkk,pt,FALSE,TRUE,FALSE,APOIA_PRISAO,NaN,,
