video_id,video_titulo,comentario_id,comentario,comentario_data,canal_id,canal_titulo,canal_pais,texto_limpo,idioma,associa_brasil,menciona_prisao,menciona_intervencao,posicao_prisao,posicao_intervencao
EOG_epeGBrU,"Veja momento em que Maduro desembarca em Nova York, nos EUA | #PlantãoNews",UgxQpKLVDjYgG4-p_FB4AaABAg,Ainda bem que o Estados Unidos 10.000 contra um covarde desse aí eu não diria que matasse ele não ia pegar prisão perpétua,2026-01-04T10:07:54Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,ainda bem que o estados unidos contra um covarde desse ai eu nao diria que matasse ele nao ia pegar prisao perpetua,pt,FALSE,TRUE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
u0fr0NvKafA,Venezuelanos comemoram captura de Maduro pelos EUA,Ugxbuw9h5i7Fy3a7n0R4AaABAg,Os EUA não querem governar a Venezuela. Querem limpar. O porco se foi.,2026-01-03T20:43:50Z,UCP391YRAjSOdM_bwievgaZA,Jovem Pan News,BR,os eua nao querem governar a venezuela querem limpar o porco se foi,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
3CN3hULHX6s,Trump confirma ataque dos EUA à Venezuela e diz que Maduro foi capturado | BREAKING NEWS,UgzLiC88CvL7agrH4454AaABAg,A terceira guerra mundial está perto 😨,2026-01-04T20:17:50Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,a terceira guerra mundial esta perto,pt,FALSE,FALSE,TRUE,APOIA_PRISAO,NaN
gJl5M1sxfFg,Trump faz alerta ao presidente da Colômbia após captura de Maduro | CNN Brasil,UgzoxMWaL0M_Es0hUnF4AaABAg,"Ele deveria combater os próprios narcotraficantes do país dele, e não ficar criando desculpas para invadir países e tomarem suas riquezas .",2026-01-05T19:32:12Z,UCvdwhh_fDyWccR42-rReZLw,CNN Brasil,BR,ele deveria combater os proprios narcotraficantes do pais dele e nao ficar criando desculpas para invadir paises e tomarem suas riquezas,pt,FALSE,FALSE,TRUE,APOIA_PRISAO,NaN
eSTCscEeywM,"Em tribunal, Maduro diz que foi &quot;sequestrado&quot; e se declara inocente | Brasil Urgente",Ugx9yq1AsreYcq1CFp14AaABAg,EUA são outro nível 😂😂😂 sequestrar um presidente em poucos minutos,2026-01-06T07:01:26Z,UCG-fFAxQjZgJmn0w7Brj5xQ,Brasil Urgente,BR,eua sao outro nivel sequestrar um presidente em poucos minutos,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
lsnGy9jdG18,Como a Delta Force entrou em Caracas e capturou Nicolás Maduro?,Ugxlbg3CH94UUZJDHa14AaABAg,"Agora falta os Estados Unidos repetir a operação na Rússia, China e Coreia do Norte. Vão sair correndo sem conseguir o mesmo que fez na Venezuela!! 😂",2026-01-05T23:02:07Z,UCxDFRhF3Y1A_Gd0-cF8gbqQ,Hoje no Mundo Militar,BR,agora falta os estados unidos repetir a operacao na russia china e coreia do norte vao sair correndo sem conseguir o mesmo que fez na venezuela,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
Dy6zzR8pUdA,Veja o momento em que Maduro sai do avião em Nova York após ser capturado,Ugzc7X-Y6yGEbMG4jDN4AaABAg,"Pq esse cara merece e daí para pior, agora EUA não quer ajudar ninguém e sim o petróleo disso todo mundo sabe.",2026-01-04T11:29:07Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,pq esse cara merece e dai para pior agora eua nao quer ajudar ninguem e sim o petroleo disso todo mundo sabe,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
l3Cbe2c7qwU,Trump ameaça Delcy Rodríguez e fala em “fim pior que Maduro” | #NewsDomingo,Ugw873JH_xAaYCaQb9x4AaABAg,"Coitados dos venezuelanos,essa ação militar dos EUA foi uma covardia",2026-01-06T17:48:16Z,UC376n347Ob5Lwzq2WGzF1AA,SBT News,BR,coitados dos venezuelanosessa acao militar dos eua foi uma covardia,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
f2J7uEsGuXo,Venezuelanos comemoram captura de Maduro nas ruas do Chile,UgxA4fnHCh5cKdDAh4l4AaABAg,"A ignorância imensa dessas pessoas e de cada latino americano que acredita na boa intenção do governo norte americano,a história mostra como fica a situação de países invadidos pelos EUA, sem exceção,em todos os países onde o exército dos EUA pisam a situação do povo piora e muito,infelizmente.",2026-01-04T22:06:10Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,a ignorancia imensa dessas pessoas e de cada latino americano que acredita na boa intencao do governo norte americanoa historia mostra como fica a situacao de paises invadidos pelos eua sem excecaoem todos os paises onde o exercito dos eua pisam a situacao do povo piora e muitoinfelizmente,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
oCElQlaYwQQ,AVISO: Brasil entra em ESTADO DE ALERTA na fronteira com prisão de Nicolás Maduro!,UgyjqDCdvp-TBV7sBCt4AaABAg,"Apenas um porta aviões americano, consegue neutralizar o Brasil inteiro em 45min. Os Estados Unidos tem 11! Obrigado por investir na soberania do Brasil Lula !!!!🤡",2026-01-11T15:13:17Z,UCiZ5zLSOBM5-3zBUHevecIA,Vamos falar de História?,BR,apenas um porta avioes americano consegue neutralizar o brasil inteiro em min os estados unidos tem obrigado por investir na soberania do brasil lula,pt,TRUE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
f2J7uEsGuXo,Venezuelanos comemoram captura de Maduro nas ruas do Chile,UgwlIP6XJ-Z6kzOVtdt4AaABAg,"Só quem está contra são os comunas que nem sabem como é a situação do povo, só são contra os EUA mesmo.",2026-01-05T16:01:22Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,so quem esta contra sao os comunas que nem sabem como e a situacao do povo so sao contra os eua mesmo,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
eSTCscEeywM,"Em tribunal, Maduro diz que foi &quot;sequestrado&quot; e se declara inocente | Brasil Urgente",UgxeTFdaLAmEc3BC_M14AaABAg,E ai nos Estados Unidos as leis e diferentes ne Brasil não,2026-01-06T11:57:17Z,UCG-fFAxQjZgJmn0w7Brj5xQ,Brasil Urgente,BR,e ai nos estados unidos as leis e diferentes ne brasil nao,pt,TRUE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
hxYcqTJ2qR8,TRUMP invade a Venezuela e captura MADURO!,UgxU5zciMnmf_vIoJhZ4AaABAg,Na América latina si não tem eleição é chamado de ditador ....na Europa é chamado de rei rainha e príncipe kkkk bizarro isso ..até nos EUA quem estuda sabe não tem eleição real ...eles elegem quem eles querem ...primeiro qui tem estados qui o votos não valem .....só uma ressalva bateu palma prós americanos amanhã será o Brasil tá eles querem tomar países pra eles não ajudar ninguém abrem o olho,2026-01-05T11:58:13Z,UCOOCeqi5txwviDZ4M5W9QSg,Nando Moura,BR,na america latina si nao tem eleicao e chamado de ditador na europa e chamado de rei rainha e principe kkkk bizarro isso ate nos eua quem estuda sabe nao tem eleicao real eles elegem quem eles querem primeiro qui tem estados qui o votos nao valem so uma ressalva bateu palma pros americanos amanha sera o brasil ta eles querem tomar paises pra eles nao ajudar ninguem abrem o olho,pt,TRUE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
GUjcTbk_DKs,Donald Trump anuncia que Nicolás Maduro foi capturado e retirado da Venezuela,UgwfH2zIRXE_Mxnm3Ox4AaABAg,"Que mais ditadores sejam capturados e presos, Parabéns EUA, Até que enfím venezuela livre.",2026-01-03T23:49:08Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,que mais ditadores sejam capturados e presos parabens eua ate que enfim venezuela livre,pt,TRUE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
ml7U5Nvcdhk,🔴 AGORA: Trump fala à imprensa após captura de Maduro | Tradução simultânea | Cobertura especial,UgxM1hgznNkL1Esk3VJ4AaABAg,Falem o que quiserem mas o EUA é o único que tem culhoes para fazer o que tem que ser feito!!!!,2026-01-03T21:00:49Z,UCNmmFVVn2Z7ggGxPx_RkksQ,Epoch Times Brasil,BR,falem o que quiserem mas o eua e o unico que tem culhoes para fazer o que tem que ser feito,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
A5vwzaMTklk,Lula diz que ataques de Trump à Venezuela e prisão de Maduro são &#39;inaceitáveis&#39;,UgxWzj6MH8gW4_3Z2XR4AaABAg,"Trump está garantido a segurança deles, tem a maior potencial mundial em armas nucleares querendo criar base cm mísseis do lado dos EUA, acham q Trump vai deixar? Ele não faz por ele, e sim pelo país",2026-01-04T23:47:17Z,UCVFbXI6Gu8U2f9Gjtxw4A-Q,UOL,BR,trump esta garantido a seguranca deles tem a maior potencial mundial em armas nucleares querendo criar base cm misseis do lado dos eua acham q trump vai deixar ele nao faz por ele e sim pelo pais,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
UCn7s6U5SfI,A QUEDA DE MADURO PODE DESTRUIR O GOVERNO PUTIN,UgzxdcnHEPdZa-Huzgp4AaABAg,"Vamos falar a verdade rapaz , só vejo gente falando que a Rússia vai falir , Putin tá Perdido, as sanções americanas e do mundo vai destruir o governo Putin etc...
Vc acha que se a Venezuela fosse vital pra economia da Rússia como você está falando , Putin deixaria maduro cair assim , sequestrado sem proteção nenhuma ! Se liga rapaz a Rússia tem presença na Venezuela , pra maduro cair assim com esse show midiático com certeza um grande acordo com Putin foi feito .
Só pra te lembrar a Rússia é o segundo maior produtor de petróleo do mundo tem petróleo de sobra , são os americanos que apesar de serem grande produtor de petróleo, são muito dependente do petróleo de outros países como arábia saudita e Qatar , vou te falar aqui não vai acontecer nada com o petróleo  no mundo, enquanto os EUA não pagarem a sua dívida de mais de 39 trilhões de dólares, o resto é só tentativa de imposição.",2026-01-09T00:52:21Z,UCpLR-q8rFLe_rEAXf4PRxRg,Daniel Lopez,BR,vamos falar a verdade rapaz so vejo gente falando que a russia vai falir putin ta perdido as sancoes americanas e do mundo vai destruir o governo putin etc vc acha que se a venezuela fosse vital pra economia da russia como voce esta falando putin deixaria maduro cair assim sequestrado sem protecao nenhuma se liga rapaz a russia tem presenca na venezuela pra maduro cair assim com esse show midiatico com certeza um grande acordo com putin foi feito so pra te lembrar a russia e o segundo maior produtor de petroleo do mundo tem petroleo de sobra sao os americanos que apesar de serem grande produtor de petroleo sao muito dependente do petroleo de outros paises como arabia saudita e qatar vou te falar aqui nao vai acontecer nada com o petroleo no mundo enquanto os eua nao pagarem a sua divida de mais de trilhoes de dolares o resto e so tentativa de imposicao,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
UCn7s6U5SfI,A QUEDA DE MADURO PODE DESTRUIR O GOVERNO PUTIN,UgxK7WJ8EEVrNVBw6IV4AaABAg,O mundo só será seguro e melhor quando os Estados Unidos sumir do mapa🎉🎉🎉,2026-01-09T19:46:31Z,UCpLR-q8rFLe_rEAXf4PRxRg,Daniel Lopez,BR,o mundo so sera seguro e melhor quando os estados unidos sumir do mapa,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
dtDXaAQRs9E,Venezuela sob Ataque – Trump lança forte ataque contra o regime Maduro #venezuela #maduro #trump,Ugxw2UqG9V_p0XzTePh4AaABAg,e ainda tinha gente dizendo que os eua ia fazer nada KKKK queria saber oq se passa na cabecinha desses de QI 83 negativo.,2026-01-04T02:16:36Z,UCxDFRhF3Y1A_Gd0-cF8gbqQ,Hoje no Mundo Militar,BR,e ainda tinha gente dizendo que os eua ia fazer nada kkkk queria saber oq se passa na cabecinha desses de qi negativo,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
GUjcTbk_DKs,Donald Trump anuncia que Nicolás Maduro foi capturado e retirado da Venezuela,UgxBhzptPPISSXYxj714AaABAg,Longa vida aos Estados Unidos e ao presidente Trump.,2026-01-03T23:28:58Z,UC9mdw2mmn49ZuqGOpSri7Fw,Metrópoles,BR,longa vida aos estados unidos e ao presidente trump,pt,FALSE,FALSE,TRUE,CRITICA_PRISAO,CRITICA_INTERVENCAO_EUA
